qid,source,year,round,number,subject,question,option1,option2,option3,option4,option5,answer_no,answer_option,explanation
2022-R1-Q18,2022-R1,2022,1,18,유통물류일반,"아래 글상자의 사례에 해당하는 유통경영전략으로 가장 옳은 것은? 식품회사인 미국의 A사와 유럽의 B사는 140여 개 해외 시장에서 상대방의 제품을 각자의 유통망에서 유통시키고 있다. 예를 들어, 미국 외의 지역에서는 A사의 대표적인 시리얼 브랜드가 B사의 유통망을 통해 공급되는 유통경영 전략을 사용하고 있다.",① 복합경로마케팅전략,② 제품개발전략,③ 인수합병전략,④ 전략적경로제휴전략,⑤ 다각화전략,5,⑤ 다각화전략,2022-R1 A형 가답안 기준
2022-R1-Q19,2022-R1,2022,1,19,유통물류일반,"아래 글상자에서 설명하고 있는 리더십 유형으로 가장 옳은 것은? - 구성원들의 기본적 가치, 믿음, 태도 등을 변화시켜서 조직이 기대하는 것보다 더 높은 수준의 성과를 스스로 추구하도록 만드는 리더십을 의미한다. - 리더와 구성원 간의 원활한 상호작용을 통해 구성원을 긍정적으로 변화시켜 성과를 내는데 집중한다.",① 거래적 리더십,② 변혁적 리더십,③ 상황적 리더십,④ 지시형 리더십,⑤ 위임형 리더십 2급 B형 - 4,4,④ 지시형 리더십,2022-R1 A형 가답안 기준
2022-R1-Q20,2022-R1,2022,1,20,유통물류일반,유통경영의 외부환경을 분석하기 위해 포터의 산업분석을 활용할 경우에 대한 설명으로 가장 옳지 않은 것은?,① 기존 경쟁자들 간의 경쟁 정도를 확인해야 한다.,② 공급자의 협상능력이 클수록 산업전반의 수익률이 증가하여 시장 매력도가 높아진다.,③ 생산자입장에서 소매상의 힘이 커질수록 가격결정 에서 불리하다.,④ 외부환경이 미치는 영향은 기업에 따라 기회 또는 위협으로 작용한다.,⑤ 대체재의 유무에 따라 산업의 수익률이 달라진다.,4,④ 외부환경이 미치는 영향은 기업에 따라 기회 또는 위협으로 작용한다.,2022-R1 A형 가답안 기준
2022-R1-Q21,2022-R1,2022,1,21,유통물류일반,치열해지는 기업간 경쟁에 따른 전통적 비즈니스에서 글로벌 비즈니스로의 변화로 가장 옳지 않은 것은?,① 고객만족에서 고객을 즐겁게 하는 것으로 변화,② 이익지향에서 이익 및 사회 지향으로 변화,③ 선행적 윤리에서 사후 비판에 대응하는 반응적 윤리로 변화,④ 제품 지향에서 품질 및 서비스 지향으로 변화,⑤ 경영자에 대한 초점에서 고객에 대한 초점으로 변화,2,② 이익지향에서 이익 및 사회 지향으로 변화,2022-R1 A형 가답안 기준
2022-R1-Q22,2022-R1,2022,1,22,유통물류일반,"재무, 생산소요계획, 인적자원, 주문충족 등 기업의 전반 적인 업무 프로세스를 통합·관리하여 정보를 공유함으 로써 효율적인 업무처리가 가능하게 하는 경영기법으로 가장 옳은 것은?",① 리엔지니어링,② 식스시그마,③ 아웃소싱,④ 벤치마킹,⑤ 전사적자원관리,5,⑤ 전사적자원관리,2022-R1 A형 가답안 기준
2022-R1-Q23,2022-R1,2022,1,23,유통물류일반,6시그마(6 Sigma)를 추진할 경우 각 단계별 설명으로 가장 옳지 않은 것은?,① 정의 - 고객의 요구사항과 CTQ(Critical To Quality)를 결정한다.,② 측정 - 프로세스 측정 방법을 결정한다.,③ 분석 - 결함의 발생 원인을 규명한다.,④ 개선 - 제품이나 서비스의 공정능력을 규명한다.,⑤ 관리 - 지속적인 관리를 실시한다.,4,④ 개선 - 제품이나 서비스의 공정능력을 규명한다.,2022-R1 A형 가답안 기준
2022-R1-Q24,2022-R1,2022,1,24,유통물류일반,수요예측을 위해 사용하는 각종 기법 중 그 성격이 다른 하나는?,① 판매원 추정법 - 판매원들이 수요추정치를 작성하게 하고 이를 근거로 예측하는 기법,"② 시장조사법 - 인터뷰, 설문지, 면접법 등으로 수집한 시장 자료를 이용하여 예측하는 기법","③ 경영자판단법 - 경영자 집단의 의견, 경험을 요약하여 예측하는 기법",④ 시계열 분석 - 종속변수의 과거 패턴을 이용해서 예측 하는 기법,⑤ 델파이법 - 익명의 전문가 집단으로부터 합의를 도출 하여 예측하는 기법 4 -,2,"② 시장조사법 - 인터뷰, 설문지, 면접법 등으로 수집한 시장 자료를 이용하여 예측하는 기법",2022-R1 A형 가답안 기준
2022-R1-Q25,2022-R1,2022,1,25,유통물류일반,"장소의 편의성이 높게 요구되는 담배, 음료, 과자류 등과 같은 품목에 일반적으로 이용되는 유통채널의 유형으로 가장 옳은 것은?",① 전속적 유통채널(exclusive distribution channel),② 독립적 유통채널(independent distribution channel),③ 선택적 유통채널(selective distribution channel),④ 집중적 유통채널(intensive distribution channel),⑤ 대리점 유통채널(agent distribution channel) <제2과목> 상권분석,4,④ 집중적 유통채널(intensive distribution channel),2022-R1 A형 가답안 기준
2022-R1-Q26,2022-R1,2022,1,26,상권분석,소매점의 입지 선정을 위한 공간분석의 논리적 순서로서 가장 옳은 것은?,① 개별점포(site)분석 - 지구상권(district area)분석 - 광역지역(general area)분석,② 광역지역(general area)분석 – 개별점포(site)분석 - 지구상권(district area)분석,③ 지구상권(district area)분석 - 광역지역(general area) 분석 - 개별점포(site)분석,④ 광역지역(general area)분석 - 지구상권(district area) 분석 - 개별점포(site)분석,⑤ 개별점포(site)분석 - 광역지역(general area)분석 - 지구상권(district area)분석,5,⑤ 개별점포(site)분석 - 광역지역(general area)분석 - 지구상권(district area)분석,2022-R1 A형 가답안 기준
2022-R1-Q27,2022-R1,2022,1,27,상권분석,권리금에 대한 설명으로 가장 옳지 않은 것은?,① 때로는 권리금이 보증금보다 많은 경우도 있다.,"② 시설 및 상가의 위치, 영업상의 노하우 등과 같은 다양한 유무형의 재산적 가치에 대한 양도 또는 사용 료로 지급하는 것이다.",③ 권리금을 일정 기간안에 회복할 수 있는 수익성이 확보 될 수 있는지를 검토해야 한다.,④ 신축건물인 경우 주변 상권의 강점을 반영하는 바닥 권리금의 형태로 나타나기도 한다.,⑤ 임차인이 점포의 소유주에게 제공하는 추가적인 비용 으로 보증금의 일부이다.,4,④ 신축건물인 경우 주변 상권의 강점을 반영하는 바닥 권리금의 형태로 나타나기도 한다.,2022-R1 A형 가답안 기준
2022-R1-Q28,2022-R1,2022,1,28,상권분석,상권 유형별 개념과 일반적 특징을 설명한 내용으로서 가장 옳은 것은?,"① 역세권상권은 지하철이나 철도역을 중심으로 형성되는 지상과 지하의 입체적 상권으로서, 저밀도 개발이 이루 어지는 경우가 많다.","② 부도심상권의 주요 소비자는 점포 인근의 거주자들이어서, 생활밀착형 업종의 점포들이 입지하는 경향이 있다.","③ 부도심상권은 보통 간선도로의 결절점이나 역세권을 중심으로 형성되는바, 도시 전체의 소비자를 유인한다.","④ 도심상권은 중심업무지구(CBD)를 포함하며, 상권의 범위가 넓고 소비자들의 체류시간이 길다.","⑤ 아파트상권은 고정고객의 비중이 높아 안정적인 수요 확보가 가능하고, 외부고객을 유치하기 쉬워서 상권 확대가능성이 높다. 2급 B형 - 5",4,"④ 도심상권은 중심업무지구(CBD)를 포함하며, 상권의 범위가 넓고 소비자들의 체류시간이 길다.",2022-R1 A형 가답안 기준
2022-R1-Q29,2022-R1,2022,1,29,상권분석,아동용 장난감 소매업체가 출점할 입지를 선정하기 위해 새로운 지역의 수요를 분석할 때 고려해야 할 요인으로 가장 옳지 않은 것은?,① 인구 증감,② 인구 구성,③ 가구 규모,④ 가구 소득,⑤ 가족 생애주기,5,⑤ 가족 생애주기,2022-R1 A형 가답안 기준
2022-R1-Q30,2022-R1,2022,1,30,상권분석,입지를 선정할 때 취급상품의 물류비용을 고려할 필요 성이 가장 낮은 도매상 유형으로 옳은 것은?,① 직송도매상(drop shipper),② 판매대리점(selling agents),③ 제조업체 판매사무소(manufacturer’s branches),④ 일반잡화도매상(general merchandise wholesaler),⑤ 전문도매상(specialty wholesaler),3,③ 제조업체 판매사무소(manufacturer’s branches),2022-R1 A형 가답안 기준
2022-R1-Q31,2022-R1,2022,1,31,상권분석,가장 다양한 업태의 소매점포를 입주시키는 쇼핑센터 유형으로 옳은 것은?,① 파워 쇼핑센터,② 아웃렛 쇼핑센터,③ 쇼핑몰 지역센터,④ 네이버후드 쇼핑센터,⑤ 패션/전문품 쇼핑센터,3,③ 쇼핑몰 지역센터,2022-R1 A형 가답안 기준
2022-R1-Q32,2022-R1,2022,1,32,상권분석,아래 글상자의 왼쪽에는 다양한 상권분석 기법들의 특성이 정리되어 있다. 이들 특성과 관련된 상권분석 기법들을 순서대로 정리한 것으로 가장 옳은 것은? 분석내용 및 특성 상권분석 기법 두 도시간의 ( ) 상권경계지점 점포이미지 등 ( ) ㉠ 다항로짓(MNL)모형 다양한 점포특성 반영 ㉡ Huff모형 Newton의 중력모형을 ( ) ㉢ Converse 모형 수용한 초기모형 ㉣ Christaller 중심지이론 소비자의 점포선택은 ( ) ㉤ Reilly의 소매중력모형 결정론적이 아님 육각형 형태의 ( ) 배후지 모양,"① ㉠, ㉤, ㉡, ㉢, ㉣","② ㉢, ㉣, ㉤, ㉡, ㉠","③ ㉤, ㉡, ㉠, ㉣, ㉢","④ ㉣, ㉤, ㉢, ㉠, ㉡","⑤ ㉢, ㉠, ㉤, ㉡, ㉣",1,"① ㉠, ㉤, ㉡, ㉢, ㉣",2022-R1 A형 가답안 기준
2022-R1-Q33,2022-R1,2022,1,33,상권분석,"비교적 넓은 공간인 도시, 구, 동 등의 상권분석 상황에서 특정지역의 개략적인 수요를 측정하기 위해 사용되고 있는 구매력지수(BPI: Buying Power Index)를 계산 하는 과정에서 필요한 자료로 가장 옳지 않은 것은?",① 부분 지역들의 인구수(population),② 전체 지역의 인구수(population),③ 부분 지역들의 소매점면적(sales space),④ 부분 지역들의 소매매출액(retail sales),⑤ 부분 지역들의 가처분소득(effective buying income) 5 -,3,③ 부분 지역들의 소매점면적(sales space),2022-R1 A형 가답안 기준
2022-R1-Q34,2022-R1,2022,1,34,상권분석,상권에 대한 일반적인 설명으로 가장 옳지 않은 것은?,① 상권의 범위는 점포의 업종이나 업태와 관련이 있다.,② 소매상권의 크기는 판매하는 상품의 종류에 따라 달라진다.,③ 상권은 행정구역과 일치하지 않는 경우가 많다.,④ 상권의 범위는 고정적이지 않고 변화하므로 유동적이다.,"⑤ 점포가 소재하는 위치적, 물리적인 조건을 의미한다.",3,③ 상권은 행정구역과 일치하지 않는 경우가 많다.,2022-R1 A형 가답안 기준
2022-R1-Q35,2022-R1,2022,1,35,상권분석,"아래 글상자에 기술된 절차에 따르는 상권분석기법을 널리 알린 사람으로 가장 옳은 것은? ㉠ 자기가 개점하려는 점포와 유사한 기존 점포를 선정한다. ㉡ 기존의 유사점포의 상권범위를 결정한다. ㉢ 전체 상권을 몇 개의 단위 지역으로 나누고, 각 지역에 서의 유사점포의 매출액을 인구수로 나누어 각 지역 내의 1인당 매출을 구한다. ㉣ 자기가 입지하려는 지역의 인구수에다 앞에서 구한 1인당 매출을 곱하여 각 지역에서의 예상 매출액을 구한다.",① 레일리(W. Reilly),② 컨버스(P. Converse),③ 허프(D. Huff),④ 넬슨(R. L. Nelson),⑤ 애플바움(W. Applebaum),2,② 컨버스(P. Converse),2022-R1 A형 가답안 기준
2022-R1-Q36,2022-R1,2022,1,36,상권분석,입지의 시계성(視界性)은 점포의 매출과 밀접한 관련이 있다. 시계성에 관한 설명으로 가장 옳지 않은 것은?,"① 입지의 시계성은 기점, 대상, 거리, 주체의 4가지 관점 에서 평가한다.",② 시계성이 양호한 정도는 어디에서 보이는가에 따라 달라진다.,③ 점포의 위치와 함께 간판의 위치와 형태도 시계성 확보에 중요하다.,④ 차량으로부터의 시계성은 외측(아웃커브)보다 내측 (인커브)의 경우가 더 좋다.,⑤ 차량의 속도가 빨라질수록 내측(인커브) 점포의 시계 성은 더 나빠진다.,3,③ 점포의 위치와 함께 간판의 위치와 형태도 시계성 확보에 중요하다.,2022-R1 A형 가답안 기준
2022-R1-Q37,2022-R1,2022,1,37,상권분석,사람들은 점포가 눈 앞에 보여도 간선도로를 횡단해야 하는 경우 그 점포에 접근하지 않으려는 경향을 보인다. 이런 현상에 대한 설명으로 가장 옳은 것은?,① 최단거리로 목적지까지 가고자 하는 최단거리 추구의 원칙,② 득실을 따져 득이 되는 쪽을 선택하려는 보증실현의 원칙,③ 위험하거나 잘 모르는 길을 지나지 않으려는 안전 추구의 원칙,④ 사람이 운집한 곳을 선호하는 인간집합의 원칙,⑤ 동선을 미리 예상하고 진행하지만 상황에 맞추어 적응 하는 목적추구의 원칙 2급 B형 - 6,5,⑤ 동선을 미리 예상하고 진행하지만 상황에 맞추어 적응 하는 목적추구의 원칙 2급 B형 - 6,2022-R1 A형 가답안 기준
2022-R1-Q39,2022-R1,2022,1,39,상권분석,입지 분석에 사용되는 각종 이론들에 대한 설명 중 가장 옳지 않은 것은?,① 공간상호작용모델은 소비자 구매행동의 결정요인에 대한 이해를 통해 입지를 결정한다.,② 다중회귀분석은 점포성과에 영향을 주는 요소의 절대적 중요성을 회귀계수로 나타낸다.,③ 유추법은 유사점포에 대한 분석을 통해 입지후보지의 예상매출을 추정한다.,④ 체크리스트법은 특정입지의 매출규모와 입지비용에 영향을 줄 요인들을 파악하고 유효성을 평가한다.,⑤ 입지분석이론들은 소매점에 대한 소비자 점포선택 행동과 소매상권의 크기를 설명한다.,5,⑤ 입지분석이론들은 소매점에 대한 소비자 점포선택 행동과 소매상권의 크기를 설명한다.,2022-R1 A형 가답안 기준
2022-R1-Q40,2022-R1,2022,1,40,상권분석,점포 개점을 위한 경쟁점포의 분석에 관한 설명으로 가장 옳지 않은 것은?,① 1차 상권 및 2차 상권 내의 주요 경쟁업체를 분석하고 필요할 경우 3차 상권의 경쟁업체도 분석한다.,② 점포 개설을 준비하고 있는 잠재적인 경쟁업체가 있다면 조사에 포함시킨다.,③ 목적에 맞는 효과적인 분석을 위해 동일 업태의 점포에 한정해서 분석한다.,④ 경쟁점포의 상품 구색 및 배치에 대해서도 분석한다.,⑤ 상권의 계층 구조를 고려하여 분석한다.,4,④ 경쟁점포의 상품 구색 및 배치에 대해서도 분석한다.,2022-R1 A형 가답안 기준
2022-R1-Q41,2022-R1,2022,1,41,상권분석,"주거지역과 상업지역에서 업종을 변경하거나 점포를 확장하려 할 경우 용도변경 신청을 해야 하는 경우가 있다. 이때 하수도법, 주차장법 등 매우 많은 법률의 적용을 다르게 받게 되어 업종변경이나 확장이 어려울 수도 있다. 이와 관련된 행정 처리 절차로서 가장 옳은 것은?",① 용도 변경 신청 – 신고필증 교부 – 공사 착수 – 건축물 대장 변경 - 사용 승인,② 용도 변경 신청 – 신고필증 교부 – 건축물대장 변경 - 공사 착수 – 사용 승인,③ 용도 변경 신청 – 사용 승인 - 신고필증 교부 – 공사 착수 – 건축물대장 변경,④ 용도 변경 신청 – 신고필증 교부 – 건축물대장 변경 - 사용 승인 - 공사 착수,⑤ 용도 변경 신청 – 신고필증 교부 – 공사 착수 – 사용 승인 – 건축물대장 변경 6 -,3,③ 용도 변경 신청 – 사용 승인 - 신고필증 교부 – 공사 착수 – 건축물대장 변경,2022-R1 A형 가답안 기준
2022-R1-Q42,2022-R1,2022,1,42,상권분석,소매점의 입지와 상권에 대한 설명으로 가장 옳은 것은?,"① 입지 평가에는 점포의 층수, 주차장, 교통망, 주변 거주 인구 등을 이용하고, 상권 평가에는 점포의 면적, 주변 유동인구, 경쟁점포의 수 등의 항목을 활용한다.",② 상권을 강화한다는 것은 점포가 더 유리한 조건을 갖출 수 있도록 점포의 속성들을 개선하는 것을 의미한다.,③ 상권은 점포를 경영하기 위해 선택한 장소 또는 그 장소의 부지와 점포 주변의 위치적 조건을 의미한다.,④ 입지는 점포를 이용하는 소비자들이 분포하는 공간적 범위 또는 점포의 매출이 발생하는 지역 범위를 의미 한다.,⑤ 상권은 일정한 공간적 범위(boundary)로 표현되고 입지는 일정한 위치를 나타내는 주소나 좌표를 가지는 점(point)으로 표시된다.,2,② 상권을 강화한다는 것은 점포가 더 유리한 조건을 갖출 수 있도록 점포의 속성들을 개선하는 것을 의미한다.,2022-R1 A형 가답안 기준
2022-R1-Q43,2022-R1,2022,1,43,상권분석,아래 글상자에서처럼 월매출액을 추정하려 할 때 괄호 안에 들어갈 용어로 가장 옳은 것은? 월매출액 = ( ㉠ ) × 1일 평균 내점객수 × 월간 영업일수,① 상권내 점포점유율,② 회전율,③ 내점율,④ 실구매율,⑤ 객단가,1,① 상권내 점포점유율,2022-R1 A형 가답안 기준
2022-R1-Q44,2022-R1,2022,1,44,상권분석,입지선정을 위해서는 도시공간구조 상에서의 동선(動線)에 대한 이해가 필요하다. 동선에 대한 아래 글상자의 설명 중에서 옳지 않은 설명들만을 바르게 짝지은 것은? ㉠ 화물차 통행이 많은 도로는 자석(anchor)과 자석을 연결 하는 동선상에 있다고 할 수 있다. ㉡ 동선이란 사람들이 집중하는 자석(anchor)과 자석을 연결하는 흐름을 말한다. ㉢ 주동선이란 자석(anchor)과 자석을 잇는 가장 기본이 되는 선을 말한다. ㉣ 경제적 사정으로 많은 자금이 필요한 주동선에 입지하기 어려운 점포는 부동선(副動線)을 중시한다. ㉤ 복수의 자석(anchor)이 있는 경우의 동선을 부동선 (副動線)이라 한다.,① ㉠ - ㉡,② ㉠ - ㉤,③ ㉡ - ㉣,④ ㉢ - ㉣,⑤ ㉢ - ㉤,5,⑤ ㉢ - ㉤,2022-R1 A형 가답안 기준
2022-R1-Q45,2022-R1,2022,1,45,상권분석,"아래 글상자의 업종들에 적합한 점포의 입지조건을 공간 균배의 원리에 의해 구분할 때 일반적으로 가장 적합한 것은? 백화점, 고급음식점, 고급보석상, 미술품점, 영화관",① 집심(集心)성 점포,② 집재(集在)성 점포,③ 산재(散在)성 점포,④ 국부(局部)성 집중성 점포,⑤ 국부(局部)성 집재성 점포 2급 B형 - 7 <제3과목> 유통마케팅,5,⑤ 국부(局部)성 집재성 점포 2급 B형 - 7 <제3과목> 유통마케팅,2022-R1 A형 가답안 기준
2022-R1-Q46,2022-R1,2022,1,46,유통마케팅,소비자 판매 촉진(consumer sales promotion)에 대한 설명으로 옳지 않은 것은?,① 소비자의 직접구매를 유도하는데 효과적이다.,② 판매촉진은 가격판촉과 비가격판촉으로 나눌 수 있다.,③ 판매촉진은 광고에 비해 단기적인 성과를 얻을 때 유용 하다.,"④ 판매촉진의 예로는 할인, 쿠폰, 선물, 시제품 배포 등이 있다.",⑤ 소비자뿐만 아니라 기업과 관련된 이해관계자들을 대상 으로 한다.,1,① 소비자의 직접구매를 유도하는데 효과적이다.,2022-R1 A형 가답안 기준
2022-R1-Q47,2022-R1,2022,1,47,유통마케팅,매장외관(exterior) 관리에 대한 설명으로 가장 옳지 않은 것은?,① 매장의 외관은 기업의 이미지에 매우 중요한 영향을 미치므로 사전에 면밀히 계획되어야 한다.,② 매장의 외관은 매장의 이미지를 상징적으로 표현할 수 있도록 디자인되어야 한다.,"③ 매장 입구는 입구의 수, 형태, 그리고 통로를 고려해서 설계해야 한다.",④ 매장의 외관은 플래노그램(planogram)을 통해 효과성을 평가해야 한다.,⑤ 매장의 외관을 꾸미는 데 있어서 중요한 목적은 고객의 관심을 유발하는 것이다.,5,⑤ 매장의 외관을 꾸미는 데 있어서 중요한 목적은 고객의 관심을 유발하는 것이다.,2022-R1 A형 가답안 기준
2022-R1-Q48,2022-R1,2022,1,48,유통마케팅,고객별 수익과 비용을 고려한 고객관계관리에서 개별 고객의 수익성을 평가하는 기준 중 하나인 고객평생가치 (CLV: customer lifetime value)를 추정하는데 필요한 정보로서 가장 옳지 않은 것은?,① 충성도,② 고객확보비용,③ 평균총마진,④ 평균구매금액,⑤ 관계 유지 기간,3,③ 평균총마진,2022-R1 A형 가답안 기준
2022-R1-Q49,2022-R1,2022,1,49,유통마케팅,서비스 실패의 회복 과정에서 고객이 지각하는 다양한 유형의 공정성은 고객 만족에 영향을 미친다. 종업원 행동의 영향을 받는 공정성 유형으로서 가장 옳은 것은?,① 법적 공정성,② 절차적 공정성,③ 산출적 공정성,④ 결과적 공정성,⑤ 상호작용적 공정성,5,⑤ 상호작용적 공정성,2022-R1 A형 가답안 기준
2022-R1-Q50,2022-R1,2022,1,50,유통마케팅,CRM의 적용을 통해 수행성과를 개선할 수 있는 분야로서 가장 옳지 않은 것은?,① 고객이탈에 대한 조기경보시스템 운영,② 다양한 접점의 고객정보의 수집 및 분석,③ 유통기업 재무 활동의 자동화 및 효율화,④ 영업 인력의 영업활동 및 관리의 자동화,⑤ 서비스 차별화를 위한 표적고객의 계층화 7 -,4,④ 영업 인력의 영업활동 및 관리의 자동화,2022-R1 A형 가답안 기준
2022-R1-Q51,2022-R1,2022,1,51,유통마케팅,점포의 환경관리에 대한 설명으로 가장 옳지 않은 것은?,① 매장 내 농축산품 작업장 바닥높이는 매장보다 높게 하여 물이 바닥에 고이지 않게 한다.,② 화장실은 물을 사용하는 공간으로 확실한 방수공사가 필요하며 주기적으로 관리한다.,③ 주차장은 도보나 자전거로 내점하는 보행자와 가능한 한 겹치지 않도록 동선을 설계한다.,④ 매장진열의 효율성을 위해 매장 집기 번호대로 창고 보관 상품을 보관한다.,"⑤ 간판, 포스터, 게시판, POP 등의 진열이 고객의 동선을 방해하지 않도록 관리한다.",1,① 매장 내 농축산품 작업장 바닥높이는 매장보다 높게 하여 물이 바닥에 고이지 않게 한다.,2022-R1 A형 가답안 기준
2022-R1-Q52,2022-R1,2022,1,52,유통마케팅,"아래 글상자의 괄호 안에 들어갈 용어로 가장 옳은 것은? 문제를 강하게 인식하여 구매동기가 형성된 소비자는 문제를 해결해 줄 수 있는 대안들에 대한 정보를 찾게 된다. 필요한 정보가 소비자의 기억속에 이미 저장되어 있는 경우에는 ( ㉠ ) 만으로 충분하지만, 그렇지 않은 경우에는 ( ㉡ )을 하게 된다.","① ㉠외적 탐색, ㉡내적 탐색","② ㉠단기 기억, ㉡장기 기억","③ ㉠내적 탐색, ㉡외적 탐색","④ ㉠장기 기억, ㉡내적 탐색","⑤ ㉠단기 기억, ㉡외적 탐색",3,"③ ㉠내적 탐색, ㉡외적 탐색",2022-R1 A형 가답안 기준
2022-R1-Q53,2022-R1,2022,1,53,유통마케팅,제조업자가 중간상들과의 거래에서 흔히 사용하는 가격 할인의 형태에 대한 설명으로 가장 옳은 것은?,① 현금할인 - 중간상이 일시에 대량구매를 하는 경우 구매량에 따라 주어지는 현금할인,② 거래할인 - 중간상이 제조업자를 위한 지역광고 및 판촉을 실시할 경우 이를 지원하기 위한 보조금 지급,③ 판매촉진지원금 - 제조업자의 업무를 대신 수행한 것에 대한 보상으로 경비의 일부를 제조업자가 부담,④ 수량할인 - 제품을 현금으로 구매하거나 대금을 만기일 전에 지불하는 경우 판매대금의 일부를 할인,⑤ 계절할인 - 제품판매에 계절성이 있는 경우 비수기에 제품을 구매하는 중간상에게 제공되는 할인,1,① 현금할인 - 중간상이 일시에 대량구매를 하는 경우 구매량에 따라 주어지는 현금할인,2022-R1 A형 가답안 기준
2022-R1-Q54,2022-R1,2022,1,54,유통마케팅,상품연출이라고도 불리는 상품진열이 가지는 고객 서비스 관점의 의미로 가장 옳지 않은 것은?,① 진열은 빠른 시간에 상품을 찾을 수 있게 해주는 시간 절약 서비스이다.,② 진열은 상품선택 시 다른 상품과의 비교를 쉽게 해주는 비교서비스이다.,③ 진열은 상품종류를 쉽게 식별하게 해주는 식별서비스 이다.,④ 진열은 상품이 파손 없이 안전하게 보관되도록 하는 보관서비스이다.,⑤ 진열은 무언의 커뮤니케이션으로 상품정보를 제공해 주는 정보서비스이다. 2급 B형 - 8,1,① 진열은 빠른 시간에 상품을 찾을 수 있게 해주는 시간 절약 서비스이다.,2022-R1 A형 가답안 기준
2022-R1-Q55,2022-R1,2022,1,55,유통마케팅,아래 글상자에서 설명하는 용어로 옳은 것은? 판매사원이 제품을 판매할 때 고객과 장기 지향적인 관계를 유지하기 위해 고객의 필요와 욕구에 초점을 두고 고객이 만족스러운 구매결정을 할 수 있도록 마케팅 컨셉을 수행 하는 판매행동을 말한다.,① 고객지향적 판매행동,② 제품지향적 판매행동,③ 판매지향적 판매행동,④ 관리지향적 판매행동,⑤ 시스템지향적 판매행동,1,① 고객지향적 판매행동,2022-R1 A형 가답안 기준
2022-R1-Q56,2022-R1,2022,1,56,유통마케팅,EAN(유럽상품)코드에 대한 설명으로 가장 옳지 않은 것은?,① 소매점 POS시스템과 연동되어 판매시점관리가 가능 하다.,② 첫째 자리는 국가코드로 대한민국의 경우 880이다.,③ 두번째 자리는 제조업체 코드로 생산자가 고유번호를 부여한다.,④ 체크숫자는 마지막 한자리로 판독오류 방지를 위해 만들어진 코드이다.,"⑤ 국가, 제조업체, 품목, 체크숫자로 구성되어 있다.",3,③ 두번째 자리는 제조업체 코드로 생산자가 고유번호를 부여한다.,2022-R1 A형 가답안 기준
2022-R1-Q57,2022-R1,2022,1,57,유통마케팅,"아래 글상자는 유통경로상 갈등을 초래하는 원인을 설명한 것이다. 이러한 갈등의 원인으로 가장 옳은 것은? 프랜차이즈 가맹본부가 가맹점 매출의 일정비율을 로열티로 받고 있는 경우에 가맹본부의 목표는 가맹점 매출의 극대 화가 되지만, 가맹점의 목표는 매출이 아닌 수익이기 때문에 갈등이 발생할 가능성이 커진다.",① 추구하는 목표의 불일치,② 역할에 대한 인식 불일치,③ 현실에 대한 인식 불일치,④ 품질요구의 불일치,⑤ 경로파워 불일치,5,⑤ 경로파워 불일치,2022-R1 A형 가답안 기준
2022-R1-Q58,2022-R1,2022,1,58,유통마케팅,"아래 글상자는 표적시장 범위에 따른 표적시장 선정 전략에 대한 내용이다. 설명이 옳은 것만을 모두 나열한 것은? ㉠ 비차별적 마케팅 전략은 세분시장 간 차이를 무시하고 전체 시장 혹은 가장 규모가 큰 대중시장을 표적으로 하나의 제공물을 제공하는 것이다. ㉡ 집중적 마케팅 전략은 여러 세분시장을 표적시장으로 선정하고, 각 세분시장별로 서로 다른 시장제공물을 개발하는 전략이다. ㉢ 차별적 마케팅 전략은 큰 시장에서 작은 점유율을 추구하는 대신 하나 혹은 소수의 작은 세분시장 또는 틈새시장에서 높은 점유율을 추구하는 전략이다.",① ㉠,"② ㉠, ㉡","③ ㉡, ㉢","④ ㉠, ㉢","⑤ ㉠, ㉡, ㉢ 8 -",4,"④ ㉠, ㉢",2022-R1 A형 가답안 기준
2022-R1-Q59,2022-R1,2022,1,59,유통마케팅,쇼루밍(showrooming) 소비자의 특징에 대한 설명으로 가장 옳은 것은?,"① 주된 구매동기는 제품을 즉시 수령하고, 반품을 더 쉽게 하기 위함이다.",② 온라인에서만 구매하는 온라인 집중형 소비자이다.,③ 오프라인 점포에서 제품을 살펴본 후 온라인에서 저렴한 가격으로 구입하려 한다.,④ 오프라인 상점에서만 직접 경험하고 구매하려는 오프 라인 집중형 소비자이다.,⑤ 온라인에서 쇼핑을 즐기지만 정작 구매는 오프라인 에서 한다.,3,③ 오프라인 점포에서 제품을 살펴본 후 온라인에서 저렴한 가격으로 구입하려 한다.,2022-R1 A형 가답안 기준
2022-R1-Q60,2022-R1,2022,1,60,유통마케팅,설문조사를 위한 표본 추출 방법 중 확률적 표본추출에 해당하는 것은?,① 편의 표본 추출,② 단순 무작위 표본 추출,③ 판단 표본 추출,④ 할당 표본 추출,⑤ 자발적 표본 추출,2,② 단순 무작위 표본 추출,2022-R1 A형 가답안 기준
2022-R1-Q61,2022-R1,2022,1,61,유통마케팅,유통마케팅 목표달성을 위해 자금을 효율적으로 지출하 는지를 확인할 수 있는 유통마케팅 성과평가 분석으로 가장 옳은 것은?,① 시장점유율 분석,② 자금유지율 분석,③ 고객만족도 분석,④ ROI 분석,⑤ 경로기여도 분석,5,⑤ 경로기여도 분석,2022-R1 A형 가답안 기준
